run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
149,4.1635896,0.9601635,0.3151496,0.20622754,0.09607667,0.01202219,3.60E-02,1.06E-02,1.71E-05,0.94634,0.7600253,0.9737638
150,3.9707646,0.9502807,0.3127034,0.31537568,0.10275823,0.01119868,-0.027733512,-0.0073582,0.001143146,0.9211438,0.8146064,0.9761965
151,4.3043979,0.9886542,0.3155799,0.2624113,0.10496479,0.01223031,0.062924305,0.029990907,-0.001229074,0.9444342,0.9364432,0.9760628
152,3.8383372,0.8695912,0.3165684,0.188142944,0.073782882,0.008285728,0.019195791,0.006692837,-0.000280176,0.9721362,0.9298062,0.9879241
153,4.0690902,0.8744009,0.3318884,0.174726466,0.060908003,0.009102327,-0.02597786,-0.00986534,0.002632464,0.9638444,0.8953944,0.9854069
154,3.9365949,0.8943997,0.3222867,0.30905766,0.11160619,0.01285869,-0.045914426,-0.000157435,-0.000373577,0.9275896,0.7904459,0.9752834
155,4.1915901,1.010656,0.3132701,0.32637567,0.13864225,0.01574418,0.101985903,0.050831491,-0.006134452,0.9350485,0.8580597,0.9559393
156,4.0287289,0.9466972,0.3069729,0.23247043,0.09648878,0.01286118,-0.041180026,-0.009425488,0.001423248,0.9478302,0.8808545,0.9773248
157,4.1535284,0.9223709,0.3260829,0.24342201,0.11529752,0.01462957,0.03072757,0.02507898,-0.00295076,0.896438,0.8777133,0.961667
158,3.6415116,0.9395593,0.3494867,0.24475855,0.10645207,0.01445302,-0.072655674,-0.0513221,0.005994386,0.9322278,0.8478125,0.9659646
159,4.1550004,0.9259585,0.3246628,0.325079,0.116389,0.0126838,0.179328527,0.036172243,-0.001108218,0.942935,0.8706948,0.9582345
160,4.307565,0.9552815,0.3205515,0.26870245,0.11597837,0.01352927,0.03362947,0.008089049,-0.000803316,0.9061257,0.8781777,0.9582098
161,4.0676455,0.91597,0.3464284,0.26606479,0.08260191,0.01032523,0.032403004,0.006500485,0.00077586,0.9602671,0.890787,0.9756625
162,3.5769699,0.9253515,0.312618,0.20326964,0.1208761,0.01911049,-0.040339282,-0.014553659,0.002990964,0.9724982,0.82575,0.9441139
163,3.7393714,0.9220615,0.2959222,0.17304686,0.08802323,0.01286677,-0.006541109,-0.006067278,0.001213768,0.9763589,0.9286612,0.9667348
164,4.0141801,0.9496285,0.3198997,0.24707626,0.1365976,0.02096402,0.083276121,0.041870962,-0.005058655,0.9573971,0.9558679,0.9064484
165,3.8067336,0.9381354,0.3297675,0.24312999,0.10386769,0.01487488,-0.069434527,-0.034570558,0.005197975,0.9320995,0.8866223,0.9636205
166,3.7582211,0.9222614,0.3196655,0.183120157,0.071846115,0.009896522,-0.059572827,-0.011872894,0.001787188,0.9736957,0.9486692,0.9863233
167,3.9478593,0.9687556,0.3222372,0.233998666,0.08556313,0.008684646,0.067472805,0.022439457,-0.001395365,0.9400645,0.9169419,0.9844796
168,3.8027718,0.9222475,0.3451522,0.27549632,0.10380698,0.01418414,-0.050473085,-0.030912097,0.004769519,0.9201421,0.8101502,0.9461731
169,3.8887062,0.9540404,0.3093149,0.2174567,0.0999278,0.01384234,-0.020046879,-0.008706756,0.002023538,0.923776,0.7974707,0.9627874
170,4.2380833,0.9151965,0.3241863,0.25220756,0.09329011,0.01345019,-0.011516533,-0.002289056,0.001090765,0.9068595,0.7461861,0.9705621
171,4.0044733,0.8582255,0.3518076,0.187738384,0.072763348,0.009770663,-0.001297142,-0.002228735,0.001137028,0.9544096,0.8534805,0.9829066
172,4.263657,0.9750588,0.3110733,0.24341343,0.08980345,0.01130135,-0.036521617,-0.007720072,0.001670744,0.955977,0.9362859,0.9814648
173,3.4809894,0.9050494,0.308471,0.21712882,0.09757195,0.01283066,0.032568783,0.013837442,-0.000802827,0.9564508,0.8715993,0.9744983
174,3.7685456,0.9167465,0.313669,0.2057318,0.09022963,0.01280436,-0.010529587,0.005978899,-0.000510895,0.9524371,0.9212792,0.9525809
175,3.8528636,0.9048359,0.3283178,0.19242642,0.08286645,0.01322635,-0.020225785,-0.010119462,0.002118817,0.9477469,0.8999854,0.9751129
176,3.7974328,0.918855,0.3165734,0.22368017,0.09930312,0.01481289,-0.114794952,-0.05865845,0.009231108,0.9696427,0.8675573,0.9720231
177,3.8463889,0.9300678,0.3138232,0.22940767,0.12117393,0.01485097,-0.015967393,-0.005872334,0.002154344,0.9180113,0.8380437,0.9418719
178,3.8225341,0.8767095,0.3290654,0.21449208,0.08503591,0.01212636,-0.007129956,-0.005950006,0.001231412,0.9631224,0.9073614,0.9594521
